Vegetation,Code
Cool temperate rainforest ,1
Tropical or sub-tropical rainforest ,2
Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),3
Eucalyptus open forests with a shrubby understorey ,4
Eucalyptus open forests with a grassy understorey ,5
Warm temperate rainforest ,6
Tropical Eucalyptus open forests and woodlands with a tall annual grassy understorey,7
Eucalyptus woodlands with a shrubby understorey ,8
Eucalyptus woodlands with a tussock grass understorey ,9
Eucalyptus woodlands with a hummock grass understorey ,10
Tropical mixed spp forests and woodlands ,11
Brigalow (Acacia harpophylla) forests and woodlands ,13
Other Acacia forests and woodlands ,14
Other forests and woodlands ,16
Eucalyptus low open woodlands with hummock grass ,18
Eucalyptus low open woodlands with tussock grass ,19
Mulga (Acacia aneura) woodlands +/- tussock grass +/- forbs,20
Other Acacia tall open shrublands and [tall] shrublands ,21
Acacia (+/- low) open woodlands and shrublands with chenopods ,22
Acacia (+/- low) open woodlands and shrublands with hummock grass ,23
Acacia (+/- low) open woodlands and shrublands +/- tussock grass,24
Acacia (+/- low) open woodlands and sparse shrublands with a shrubby understorey,25
Mallee with hummock grass ,27
"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia) ",28
Mallee with a dense shrubby understorey ,29
Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,45
Eucalyptus open woodlands with shrubby understorey,47
Eucalyptus open woodlands with a grassy understorey,48
Mulga (Acacia aneura) woodlands and shrublands with hummock grass,51
Mulga (Acacia aneura) open woodlands and sparse shrublands with hummock grass,52
Eucalyptus low open woodlands with a shrubby understorey,53
Eucalyptus tall open forest with a fine-leaved shrubby understorey,54
Mallee with an open shrubby understorey,55
Eucalyptus (+/- low) open woodlands with a chenopod or samphire understorey,56
"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",59
"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",60
Mallee with a tussock grass understorey,61
Dry rainforest or vine thickets,62
Eucalyptus woodlands with a chenopod or samphire understorey,65
Open mallee woodlands and sparse mallee shrublands with a hummock grass understorey,66
Open mallee woodlands and sparse mallee shrublands with a tussock grass understorey ,67
Open mallee woodlands and sparse mallee shrublands with an open shrubby understorey,68
Open mallee woodlands and sparse mallee shrublands with a dense shrubby understorey ,69
Other open Woodlands,79
Other sparse shrublands and sparse heathlands,80
Regrowth or modified forests and woodlands,90
Regrowth or modified shrublands,91
Unclassified forest,96
Unclassified native vegetation,97
"Cleared, non-native vegetation, buildings",98
Unknown/No data,99